company_name,salary,company_info,info_detail,name,time
阿里巴巴集团,30K-45K,互联网,前端，java，中间件，算法，测试都可推荐，感兴趣的可以发送简历，后续具体的部门，岗位可以沟通,java专家,发布于02月27日
阿里巴巴集团,20K-30K,互联网,前端，java，中间件，算法，测试都可推荐，感兴趣的可以发送简历，后续具体的部门，岗位可以沟通,java高级开发,发布于02月26日
拼多多,20K-40K,移动互联网,"1. 建立智能化的规则及决策中心,对接处罚中心业务",JAVA研发工程师（平台治理方向）,发布于02月27日
蚂蚁金服,15K-30K,互联网,岗位描述：,JAVA开发工程师/专家,发布于02月27日
平安银行,15K-30K,互联网金融,1.主要负责大数据业务数据需求服务开发，熟悉java常用spring mvc，mybatis等常用开源框架。对微服务有一定的了解。,初级java，大数据开发工程师,发布于02月27日
文思海辉,11K-18K,计算机软件,1、熟练掌握主流框架如springMVC、Hibemate、Mybatis的使用和原理；,JAVA(金融方向),发布于昨天
拼多多,20K-40K,移动互联网,职位诱惑：,高级JAVA开发工程师,发布于02月26日
携程旅行网,30K-60K,互联网,工作职责：,Java技术专家,发布于02月26日
蚂蚁金服,20K-35K,互联网,职位描述：,支付宝-技术通用岗位 Java,发布于02月27日
银丰新融,6K-8K,计算机软件,职责：,Java,发布于02月27日
TutorABC,15K-30K,在线教育,岗位职责：,Java高级开发工程师,发布于02月26日
老板电器,15K-20K,其他行业,以下职位将服务于老板电器新零售项目,JAVA,发布于02月26日
哔哩哔哩-B站,15K-30K,互联网,岗位描述：,Java开发（电商方向）,发布于02月26日
平安好医生,15K-30K,互联网,岗位要求：,Java中高级开发工程师,发布于02月26日
百得思维,8K-15K,计算机软件,1.计算机及相关专业本科以上学历，2015年及以前毕业；,Java前端开发,发布于02月26日
钱坤投资,12K-24K,互联网金融,工作职责：,Java,发布于昨天
纬创,10K-11K,计算机软件,任职要求：,Java中级开发,发布于昨天
科大讯飞,10K-20K,计算机软件,1、计算机相关专业，全日制本科以上学历；,java开发工程师,发布于02月27日
菜鸟网络,16K-32K,互联网,国际物流技术团队旨在为阿里巴巴集团、小微金服等提供跨境（进口&出口）电商物流解决方案。,java技术专家,发布于昨天
邮乐中国,10K-15K,电子商务,工作职责：,Java开发工程师,发布于02月27日
平安银行,20K-40K,互联网金融,1. 具有5年左右的java后台系统开发经验，熟练掌握springmvc，mybatis等开源框架，具备一定的系统架构设计经验，了解微服务原理。,高级java，大数据开发工程师,发布于02月27日
麦子金服,10K-13K,移动互联网,外派到汇添富是基金公司,Java汇添富,发布于02月27日
东方财富网,15K-25K,互联网,工作内容：,Java开发工程师（电商）,发布于02月26日
青客,15K-25K,移动互联网,工作职责：,中高级java,发布于16:15
班凯信息,10K-12K,计算机软件,1、负责理财销售系统、基金代销、贵金属、银保、大额存单、理财资产管理系统项目实施和管理，包括计划、执行、跟踪、协调、风险管理等；,java（上海）,发布于02月27日
国槐科技,25K-40K,移动互联网,岗位职责：,高级/资深java开发,发布于02月27日
京东商城,15K-30K,电子商务,京东商城招聘java后台工程师（欢迎推荐及自荐）：,Java,发布于02月27日
水象金融,10K-20K,互联网金融,岗位职责：,中高级java工程师,发布于02月26日
拼多多,15K-30K,移动互联网,岗位职责：,高级Java开发工程师,发布于02月26日
京东商城,4K-5K,电子商务,工作职责：,实习生-算法类/数据类/java开发等,发布于02月26日
软通动力,8K-13K,计算机软件,16年本科毕业起，有2年以上实际Java开发经验,Java开发工程师,发布于02月24日
风云科技,10K-15K,计算机软件,1、计算机相关专业，三年以上J2EE开发实际工作经验，有大型项目实际经验优先考虑；,JAVA开发工程师,发布于02月26日
百得思维,8K-16K,计算机软件,1.计算机及相关专业本科以上学历；,JAVA,发布于02月25日
上海棠棣信息,14K-20K,计算机软件,岗位职责：,高级java开发工程师,发布于02月27日
八维宏烨培训学校,20K-30K,在线教育,java项目经理讲师,Java工程师,发布于02月25日
上海世基,8K-12K,互联网金融,世基投资欢迎天下有志之士加盟，要求价值观一致，有野心，能一起打拼，大专及本科以上学历，18~28岁，有学生会干事或者党员身份优先！我们愿意给广大平民孩子一个奋斗的舞台，在这个舞台上，只培养你终身就业的能力，但不提供你终身就业的机会。,金融java ，证券经纪人,发布于02月26日
文思海辉,12K-17K,计算机软件,产品一部,Java,发布于昨天
傲世堂,8K-12K,游戏,职位描述：,JAVA游戏研发工程师,发布于02月26日
华信永益,12K-17K,计算机软件,java工程师：,Java开发（赴万达征信项目组）,发布于02月26日
品见智能,10K-13K,数据服务,岗位职责：,JAVA,发布于02月27日
厦门链平方,10K-20K,互联网,岗位职责：,JAVA开发工程师,发布于02月27日
麦子金服,12K-16K,移动互联网,外派到德邦证券（浦电路）岗位职责：,Java,发布于02月26日
数道科技,3K-4K,数据服务,岗位职责：,java开发工程师（实习生）,发布于02月27日
苏宁易购,15K-25K,电子商务,职责描述：,高级java开发工程师,发布于18:57
东方国信,8K-16K,计算机软件,负责产品的开发。熟悉主流java开发技术。熟悉互联网架构。有电信行业的优先。本科以上学历，985 211 院校毕业的优先考虑。,Java初中级开发工程师,发布于02月26日
班凯信息,12K-18K,计算机软件,任职资格：,Java开发工程师_DB,发布于02月26日
平安付,10K-20K,互联网,1.金融理财,Java,发布于02月26日
上海皇家网络,9K-18K,计算机软件,1、2-4年（相当）相关工作经验；,中级/高级JAVA工程师,发布于昨天
哔哩哔哩,15K-30K,互联网,职位描述：,高级Java开发工程师,发布于02月24日
律驾宝,10K-15K,移动互联网,岗位职责：,JAVA开发工程师,发布于02月27日
杭州时代银通,12K-17K,计算机软件,岗位职责：,JAVA开发工程师（金融）,发布于02月26日
阿里巴巴集团,25K-35K,互联网,我们是国际化团队，我们的职责是为阿里体系内海外业务的用户体验提升提供整套解决方案。随着全球化进程不断加速，现团队急需扩大，需要大量靠谱人才加入我们一起为实现“全球买，全球卖”的目标奋斗。帅气的老板，时而学术时而逗逼的团队文化，占据园区最便捷,上海专场Java高级工程师/架构师,发布于15:48
宇信科技集团,8K-13K,计算机软件,东亚银行（风险总账组）项目组（地址：浦东新区瑞昌路277号）紧急招一位java开发人员,Java开发工程师—oracle存储过程,发布于02月24日
杭州时代银通,7K-9K,计算机软件,Java开发实习生（非2018届毕业生请勿投）,金融JAVA开发实习生,发布于02月27日
安硕信息,6K-12K,计算机软件,岗位要求：,JAVA开发工程师,发布于02月24日
平安医疗,10K-20K,医疗健康,Java开发岗位：1、计算机相关专业本科以上学历，三年及以上Java开发经验；2.熟悉Java EE技术，包括Serverlet/JSP、JDBC、JMS、WebService等，熟悉Spring，Hibernate，Mybatis，Spr,Java,发布于02月24日
平安医疗,20K-30K,医疗健康,岗位职责,Java,发布于02月24日
智慧喵科学教育中心,15K-20K,在线教育,岗位职责：,java后台开发工程师,发布于02月26日
文思海辉,8K-16K,计算机软件,1、2014年及以前本科毕业，学信网可查；,Java开发工程师,发布于12:17
河南鑫众力,9K-13K,计算机软件,任职要求：,java,发布于02月27日
柯莱特,11K-20K,计算机软件,1、 扎实的java编程基础知识，至少3年java web开发经验；，大专以上学历,java,发布于02月24日
上海艾艺,15K-20K,计算机软件,1、计算机相关专业本科，有5年以上java开发经验；,Java开发工程师（外包）,发布于02月27日
唯品会,25K-50K,互联网,工作内容：,高级/资深Java开发工程师（全栈方向）（上海）,发布于02月27日
瑞阙,15K-27K,互联网金融,岗位职责：1.负责公司平台级产品的软件开发和维护；,高级JAVA研发工程师,发布于02月26日
瑞阙,10K-19K,互联网金融,岗位职责：1.负责公司平台级产品的软件开发和维护；,java,发布于02月26日
上海聪充科技,10K-18K,互联网,JAVA高级开发工程师,Java高级工程师,发布于02月27日
智慧树,12K-18K,互联网,1、本科及以上学历，计算机或者相关专业；,Java开发工程师,发布于14:26
文思海辉,8K-16K,计算机软件,1、本科以上学历，学信网可查就行，3年以上工作经验,java工程师,发布于10:49
领思科技,6K-12K,计算机软件,"1、1年以上java开发经验,具备需求分析和系统设计能力，较好的软件工程文档撰写能力；",java开发工程师,发布于02月26日
上交所技术,18K-25K,互联网金融,岗位职责：,JAVA开发岗,发布于02月27日
南京融翼,7K-10K,计算机软件,"1、熟悉主流开源框架，如Spring, Hibernate, Struts；",JAVA开发工程师（电信）,发布于02月26日
南京融翼,10K-15K,计算机软件,"1、熟悉主流开源框架，如Spring, Hibernate, Struts；",JAVA开发工程师(上海),发布于02月26日
平安普惠投资咨询有限公司,8K-16K,互联网金融,吃起来，吃饱好上路！,Java,发布于02月25日
平安银行,15K-30K,互联网金融,岗位职责：,JAVA工程师,发布于15:16
文思海辉,10K-20K,计算机软件,1、2014年（包括14年）之前本科毕业，学信网可查即可,Java,发布于14:25
点内生物,10K-15K,医疗健康,岗位职责：,Java工程师,发布于02月26日
阿里巴巴集团,19K-36K,互联网,工作地点是阿里巴巴西溪园区,Java高级开发工程师/技术专家,发布于15:33
心触动传媒,8K-12K,互联网,职位信息:,Java工程师,发布于02月26日
中科软通,10K-14K,计算机软件,岗位职责：,Java工程师,发布于02月25日
上海信传,10K-20K,计算机软件,招聘岗位：软件工程师（全职）,java软件工程师,发布于昨天
文思海辉,10K-20K,计算机软件,1、3年以上java开发经验，有银行经验优先,Java,发布于13:55
上海创蓝文化传播,15K-25K,移动互联网,岗位职责：,高级JAVA工程师,发布于02月24日
船老大,12K-16K,互联网,岗位描述：,Java开发工程师,发布于02月26日
钜石信息,10K-20K,互联网,岗位职责：,Java开发,发布于02月26日
步锐捷,8K-16K,移动互联网,职位描述：,中级Java,发布于02月26日
勾芒科技,3K-5K,移动互联网,职位诱惑：,JAVA实习生,发布于02月26日
北京普柏特信息科技,20K-35K,互联网金融,岗位职责：,Java高级开发工程师,发布于02月24日
鸿程系统,10K-20K,互联网,岗位职责：,JAVA开发工程师（base 上海）,发布于02月26日
阿里巴巴集团,4K-5K,互联网,阿里巴巴2018年实习生招聘，基础要求：,java开发实习生(限19年毕业，工作地杭州),发布于02月25日
金证股份,9K-14K,计算机软件,岗位要求：,java工程师,发布于13:52
快牛金科,15K-25K,移动互联网,【岗位职责】,Java开发工程师,发布于02月23日
北京科奇,20K-35K,人力资源服务,职责描述：,java开发工程师,发布于02月27日
纬创,10K-11K,计算机软件,岗位职责,Java工程师,发布于09:58
锐聘软件,10K-20K,计算机软件,职位职责：,Java开发工程师,发布于02月26日
锐聘软件,12K-20K,计算机软件,岗位职责,Java开发工程师,发布于02月26日
百度,25K-50K,互联网,岗位描述：,Java,发布于昨天
卓艾,10K-20K,企业服务,岗位职责：,Java开发工程师,发布于02月26日
coupang,20K-30K,电子商务,Responsibilities:,高级Java开发工程师-Seller Intelligence,发布于16:27
久雅科技,6K-12K,计算机软件,1. 在公司开发平台上进行项目开发,初级Java开发工程师,发布于02月26日
维优咨询,10K-20K,互联网,Java工程师,Java开发工程师,发布于02月27日
善悉商务,12K-18K,互联网金融,工作内容：,Java中级开发工程师,发布于02月23日
招商银行信用卡中心,15K-30K,互联网金融,岗位职责:,Java中高级工程师,发布于昨天
拼多多,30K-50K,移动互联网,岗位职责,资深java研发工程师/架构师,发布于02月24日
今日头条,25K-50K,移动互联网,职位职责：,高级Java开发工程师,发布于昨天
万达信息,9K-11K,计算机软件,岗位职责：,java中级软件开发工程师,发布于昨天
文思海辉,12K-15K,计算机软件,本科以上学历，3年以上工作经验。,Java开发,发布于09:12
喜马拉雅FM,25K-35K,移动互联网,工作职责：,Java资深开发,发布于14:38
浙江鸿程,20K-30K,计算机软件,岗位职责：,高级JAVA开发工程师（Base上海）,发布于17:12
杭州柏阔,15K-25K,互联网金融,工作职责：,高级JAVA软件开发工程师,发布于02月26日
票易通,20K-30K,数据服务,【岗位职责】,资深Java开发,发布于17:28
票易通,10K-20K,数据服务,【岗位职责】,Java开发工程师,发布于17:25
百得思维,10K-20K,计算机软件,1.计算机及相关专业本科以上学历；,Java开发,发布于昨天
长江众创,8K-16K,移动互联网,Java工程师：,Java,发布于02月25日
文思海辉,12K-16K,计算机软件,岗位职责：,Java,发布于昨天
青客,15K-23K,移动互联网,工作职责,高级java工程师,发布于02月23日
太平洋房屋,15K-20K,生活服务,职位描述,JAVA高级软件工程师,发布于09:50
聚力传媒PPTV,18K-36K,移动互联网,岗位职责：,Java,发布于02月26日
蚂蚁金服,12K-24K,互联网,蚂蚁金服金融云上海产品研发招人,Java,发布于昨天
盛大游戏,15K-25K,游戏,岗位职责,资深Java开发工程师,发布于02月23日
傲世堂,10K-11K,游戏,职位描述：,JAVA游戏研发工程师,发布于02月26日
复兰科技,10K-15K,互联网,岗位职责：,Java软件开发工程师,发布于02月24日
上海同道,6K-8K,计算机软件,岗位职责：,Java开发工程师,发布于11:09
票易通,20K-30K,数据服务,【岗位职责】,高级Java,发布于13:19
华钦软件CLPS,13K-23K,计算机软件,"1、2年以上Java开发人员（springMVC，Java/J2EE,ssh,sql）的经验。",Java开发工程师,发布于13:52
拼多多,25K-50K,移动互联网,岗位职责,Java服务端研发工程师（广告B端）,发布于02月24日
强生,15K-25K,其他行业,Johnson & Johnson Application Services is currently searching for a (Senior) Java Developer to join a core software deve,(Senior) Java Developer,发布于02月26日
鸿仪通,11K-15K,计算机软件,1、3年以上Java开发经验，有Java系统架构经验；,Java开发工程师,发布于02月26日
惠兴信息,8K-16K,移动互联网,5险1金，10天带薪年假,JAVA开发,发布于17:47
白熊阅读,10K-15K,音乐/视频/阅读,岗位职责:,Java,发布于02月26日
京东商城,15K-30K,电子商务,工作职责：,Java后台工程师,发布于昨天
班凯信息,12K-22K,计算机软件,工作职责：1.定期完成量化的工作要求，独立处理和解决所负责的任务，并能够积极提出改进措施；,Java开发工程师_DC,发布于02月26日
上海好卓数据,15K-23K,医疗健康,职位描述：,Java中/高级开发工程师,发布于02月26日
旭耕,9K-13K,电子商务,岗位职责：,java工程师,发布于02月26日
旭耕,12K-18K,电子商务,岗位职责：,中/高级java工程师,发布于02月26日
上海水星家纺,10K-20K,其他行业,岗位要求：,JAVA高级开发工程师,发布于02月24日
上海水星家纺,5K-7K,其他行业,岗位要求：,JAVA开发工程师,发布于02月24日
慧博云通,12K-18K,计算机软件,工作职责：,JAVA开发,发布于10:28
宝宝树,20K-35K,互联网,岗位职责：,高级JAVA工程师,发布于02月23日
大连安普诺克,11K-13K,互联网,1.熟悉Java，有.net开发经验者优先；,java软件工程师,发布于02月24日
擎测,15K-30K,计算机服务,1、3-5年以上开发经验，精通Java，有扎实的编程功底，熟悉面向对象思想；,高级Java工程师,发布于02月26日
上海微创软件,14K-20K,计算机软件,项目介绍：,中高级JAVA研发工程师（分布式/云计算）,发布于02月24日
中科软,7K-14K,互联网,1.大专/本科以上学历，计算机相关专业，1年以上工作经验；,Java开发工程师,发布于昨天
上海人科,20K-25K,企业服务,负责平台的开发与维护工作,高级Java工程师,发布于02月26日
宝宝树,15K-25K,互联网,岗位职责：,JAVA工程师,发布于02月23日
