company_name,salary,company_info,info_detail,name,time
上海夸客金融,15K-25K,互联网金融,岗位职责：,JAVA开发工程师,发布于11:27
上海至善股权投资,10K-17K,互联网金融,岗位职责,java开发工程师,发布于02月23日
再惠,15K-30K,互联网,岗位职责：,高级Java开发工程师,发布于02月24日
斯贝思,10K-20K,互联网,岗位职责：,Java,发布于02月26日
altenchina,10K-20K,计算机软件,Responsbility,Java开发（外派德企汽车行业）,发布于昨天
文思海辉技术有限公司,10K-17K,计算机软件,任职资格:,互联网开发（中山公园 java后台或者前端）,发布于11:36
万达信息,6K-8K,计算机软件,按计划完成开发任务。包括jsp页面开发（基于jquery框架），后端代码编写，业务逻辑开发，数据持久化。,Java,发布于昨天
微汇金融,20K-40K,互联网,岗位职责：,资深java工程师,发布于02月24日
菏怀软件科技,9K-16K,计算机软件,技术要求: 岗位职责：,Java中高级工程师,发布于02月26日
上海宣郝,12K-20K,计算机软件,1、 计算机相关专业本科，4年以上Java开发经验，1年以上架构设计经验；,java开发,发布于02月26日
大连明治科技有限公司,7K-10K,计算机软件,1.Java开发经验 3年以上,java国内,发布于02月24日
宇信科技集团,8K-16K,计算机软件,岗位职责：,Java开发工程师（上海）,发布于02月23日
携程旅行网,16K-30K,互联网,岗位职责,高级Java开发工程师,发布于昨天
文思海辉,10K-20K,计算机软件,本科以上学历，15年以前毕业，熟悉分布式开发或者有银行经验,Java,发布于14:01
拼多多,25K-50K,移动互联网,岗位职责,Java服务端研发工程师（广告C端）,发布于02月27日
通吧信息科技,8K-10K,计算机软件,岗位职责：  1. 参与完成项目的设计,JAVA,发布于02月26日
远成物流,15K-20K,物流/仓储,岗位职责： ,高级Java开发工程师,发布于昨天
途家网,25K-30K,互联网,工作职责：,高级Java开发工程师（Base上海）J10166,发布于02月24日
蚂蚁金服,35K-50K,互联网,工作地点：上海，北京，杭州，成都,Java高级开发工程师/专家,发布于昨天
hellobike,25K-50K,餐饮,这里有：,资深Java开发工程师,发布于昨天
浩汤金融,20K-25K,互联网,性格稳重、能够带领团队完成开发工作,Java后端系统架构搭建、数据库,发布于02月26日
爱回收,15K-25K,互联网,任职资格:,JAVA开发工程师,发布于昨天
爱回收,25K-32K,互联网,岗位职责:,JAVA架构师,发布于昨天
龙诺,10K-15K,电子商务,岗位要求：,java,发布于02月25日
财安金融,5K-7K,互联网金融,岗位职责：,Java开发工程师,发布于昨天
平安医疗,15K-30K,医疗健康,岗位职责,Java工程师/高级工程师,发布于昨天
广伟投资,12K-15K,企业服务,职位要求：,中级JAVA开发,发布于17:08
运满满,20K-40K,移动互联网,资深java开发工程师：岗位职责：,Java,发布于昨天
上海彩亿,18K-35K,互联网,岗位职责：,资深Java开发,发布于02月22日
博彦科技,12K-16K,计算机软件,任职要求：,Java 开发工程师,发布于昨天
Oracle,15K-30K,计算机软件,"3年以上Java/J2EE研发工作经验，熟悉tcp/ip, http, webservice, 英语口语流利，base五角场。",Sr. Java/J2EE Developer,发布于昨天
步锐捷,12K-24K,移动互联网,职位描述：,高级Java,发布于02月26日
爱回收,15K-30K,互联网,岗位职责:,高级JAVA工程师,发布于昨天
爱回收,10K-20K,互联网,岗位职责:,JAVA工程师,发布于昨天
储信,15K-25K,互联网,岗位职责：,高级java开发工程师,发布于02月24日
平安银行,15K-25K,互联网金融,平安银行消费金融核心系统后台开发支持,Java后端开发工程师,发布于昨天
上海至采,9K-15K,移动互联网,岗位描述：,中级java软件开发工程师,发布于02月26日
上海春秋国旅,2K-3K,旅游,职位描述： ,JAVA/BI开发实习生（18届）,发布于昨天
乐配信息科技,15K-20K,生活服务,岗位描述：,Java开发工程师,发布于02月24日
广伟投资,12K-15K,企业服务,职位要求,中级JAVA开发工程师,发布于02月26日
北京零壹光年,20K-25K,互联网,工作内容:,高级Java工程师,发布于14:40
拼多多,20K-40K,移动互联网,岗位职责,高级Java研发工程师,发布于昨天
客即,15K-25K,企业服务,【工作内容】,Java后台系统开发工程师,发布于02月24日
怪兽充电,15K-25K,互联网,1、4年以上互联网开发经验，熟练掌握Spring，mybatis等框架，core java过硬了解jvm的优先；             ,高级java开发工程师,发布于02月26日
coupang,20K-30K,电子商务,Responsibilities:,高级java 工程师-HLM,发布于16:29
客即,12K-24K,企业服务,Java后台系统开发工程师,Java后台系统开发工程师,发布于02月26日
阿里巴巴集团,25K-45K,互联网,岗位要求:,java软件工程师（杭州）,发布于02月27日
Freemud,18K-36K,互联网,岗位职责：,Java高级开发,发布于18:56
容津信息,10K-12K,计算机软件,岗位职责：,JAVA开发工程师,发布于02月26日
OHS,8K-15K,计算机服务,任职资格：,JAVA高级软件工程师,发布于02月24日
盔甲科技,10K-20K,企业服务,职位描述,高级java工程师,发布于02月24日
金证股份,10K-15K,计算机软件,岗位职责：,java开发工程师,发布于昨天
金证股份,10K-15K,计算机软件,岗位职责：,java开发工程师,发布于昨天
游多多旅行网,15K-20K,移动互联网,1、完成上级领导安排的任务；,高级JAVA工程师,发布于14:36
万书信息技术,12K-18K,计算机软件,岗位职责,中高级Java开发,发布于02月24日
东方网力,13K-25K,计算机软件,工作职责,Java开发工程师,发布于昨天
爱回收,30K-40K,互联网,岗位描述：,JAVA架构师,发布于昨天
远丰仁商软件,10K-15K,电子商务,"1、负责Android平台APP功能设计、开发、测试、发布, 对移动端产品的交付全面负责； ",Android/Java工程师,发布于02月24日
重庆小沙,3K-6K,在线教育,后台开发实现生,Java,发布于02月23日
用友秉钧,12K-20K,广告营销,上海JAVA高级,java高级开发工程师,发布于02月27日
金证股份,10K-17K,计算机软件,1、参与公司核心业务系统的设计和开发,Java开发,发布于昨天
饿了么,18K-30K,O2O,职位诱惑·,高级JAVA开发工程师,发布于02月27日
沪江,20K-35K,移动互联网,工作职责,高级Java开发工程师,发布于昨天
宝尊电商,16K-26K,互联网,1、全日制大学本科及以上学历，计算机相关专业，3年以上服务器后端开发经验； ,高级java开发工程师,发布于02月24日
科匠(中国),10K-20K,移动互联网,1.3年以上java开发经验，精通spring ,Java中高级开发工程师,发布于昨天
长甲,12K-20K,计算机服务,岗位职责：,Java工程师,发布于02月24日
Alten  China,10K-20K,企业服务,Java开发工程师,java开发工程师,发布于12:07
联想利泰,15K-21K,移动互联网,1. 参与产品的需求分析、设计、开发以及测试几个阶段；,高级Java工程师,发布于昨天
Freemud,10K-20K,互联网,岗位职责： ,Java开发中级,发布于10:51
返利网,15K-25K,电子商务,岗位描述：,JAVA后端工程师,发布于02月26日
凯京集团,12K-20K,互联网金融,1.计算机相关专业本科及以上学历，2年以上后台开发经验，技术突出者这些都是浮云；,JAVA 高级工程师,发布于02月27日
华钦软件CLPS,10K-18K,计算机软件,"营销工程,软件工程师",Java开发工程师,发布于02月23日
浙江鸿程,8K-16K,计算机软件,岗位职责：,JAVA开发工程师（base 上海）,发布于02月23日
易招标,8K-12K,互联网,1、工作职责: 基于JAVA需要，研发、升级相关产品；参与需求收集、产品定义、设计和开发。,Java研发工程师,发布于15:34
大连华信计算机,18K-25K,计算机软件,1、计算机相关专业，本科及以上学历，4-6年工作经验；,高级java工程师（金融）,发布于昨天
大连华信计算机,15K-20K,计算机软件,1、本科及以上学历，计算机或相关专业,中级java开发工程师,发布于昨天
平安银行,20K-40K,互联网金融,岗位职责：,高级JAVA工程师,发布于昨天
平安医疗,10K-20K,医疗健康,职责：,Java,发布于02月24日
上海链点信息,14K-28K,互联网,岗位职责：,Java,发布于02月24日
小黑鱼,25K-35K,互联网金融,1、带领开发团队对公司网站、业务系统进行需求分析、计划制定，研发，设计，测试，和运行支持，制定和执行高效的研发流程。 ,研发经理（JAVA）,发布于02月24日
上海创蓝文化传播,15K-25K,移动互联网,岗位职责：,高级JAVA研发工程师,发布于02月24日
久科,12K-18K,互联网,岗位主要职责：,Java开发工程师,发布于13:35
晔波国际,8K-15K,计算机软件,岗位职责：,Java开发工程师,发布于16:21
上海创蓝文化传播,18K-25K,移动互联网,岗位职责：,Java工程师,发布于02月24日
文思海辉,12K-20K,计算机软件,1、本科以上学历，3年以上工作经验,JAVA,发布于09:50
阿里巴巴集团,30K-31K,互联网,实习生报名地址：,java岗位实习生,发布于昨天
国槐科技,25K-40K,移动互联网,岗位职责：,java基础架构师,发布于14:19
小黑鱼,15K-30K,互联网金融,岗位职位：,Java高级开发工程师,发布于02月23日
巴兰仕股份,10K-13K,汽车生产,"2年以Java web或B/S架构开发经验,",Java,发布于02月26日
卡布奇诺,10K-15K,移动互联网,职位描述：   ,Java,发布于10:22
亨右,15K-30K,移动互联网,1、负责公司核心产品的后端代码设计以及编码；,高级Java开发 ,发布于02月25日
上海淳泊,11K-17K,信息安全,岗位职责：,java开发工程师,发布于02月24日
科匠(中国),16K-22K,移动互联网,职能要求：,高级java开发工程师,发布于02月24日
bilibili,15K-30K,互联网,开放平台技术部-Java高级研发工程师-上海（3年以上工作经验）,Java,发布于02月27日
大连森茂科技,8K-16K,计算机软件,国内java开发人员,Java,发布于13:51
平安科技,14K-28K,互联网,岗位职责：,Java,发布于14:30
深兰科技,40K-50K,智能硬件,Java高级技术专家,Java高级技术专家,发布于00:07
东方二次元,10K-20K,音乐/视频/阅读,岗位职责：,Java后端开发工程师,发布于02月24日
东方二次元,10K-20K,音乐/视频/阅读,岗位职责：,游戏后端工程师（JAVA）,发布于02月24日
万云,20K-30K,互联网,岗位职责,资深Java工程师,发布于16:32
上海微创软件,15K-30K,计算机软件,中高级Java研发工程师（银行业核心平台）,中高级Java研发工程师（银行业核心平台）,发布于02月27日
菏怀软件科技,9K-16K,计算机软件,岗位要求:,java工程师(中高级),发布于10:34
云知声,10K-20K,移动互联网,岗位职责：,Java开发工程师,发布于10:44
云族佳,10K-11K,互联网,java2-3年的 ，要4人 ，最终用户社内系统开发、国内項目、设计和开发都混在一起了,Java,发布于02月26日
平安银行,20K-40K,互联网金融,岗位职责,数据开发工程师/Java开发工程师,发布于02月27日
游族网络,15K-30K,游戏,岗位职责：,高级/资深Java开发工程师-数据开发方向,发布于02月27日
雨花石云计算,10K-15K,互联网,岗位职责：,JAVA开发工程师,发布于02月23日
本原道康企业管理咨询,9K-15K,分类信息,java工程师，具体岗位有三：,中高级Java工程师,发布于09:35
乙辛科技,2K-4K,生活服务,招聘JAVA开发2名，要求统招本科计算机专业，要求熟悉JAVA spring mvc，HTML或PHP，有vue.js，laveral经验的优先考虑，参与公司APP，微信端后台开发,Java实习,发布于02月23日
乙辛科技,5K-10K,生活服务,招聘JAVA开发2名，要求统招本科计算机专业，要求熟悉JAVA spring mvc，HTML或PHP，有vue.js，laveral经验的优先考虑，参与公司APP，微信端后台开发,Java,发布于02月23日
利朋网络,6K-8K,计算机软件,理解MVC架构,JAVA程序员,发布于昨天
简值,12K-24K,电子商务,工作职责,java开发,发布于02月24日
伴美信息科技有限公司,8K-13K,移动互联网,岗位职责：,Java开发工程师,发布于02月24日
运去哪,30K-50K,互联网,岗位职责：,Java高级架构师,发布于02月24日
高预美,11K-17K,计算机软件,（后台开发软件工程师） 4年经验 Java工程师 ,中高级Java工程师,发布于09:48
安硕信息技术,6K-12K,计算机软件,岗位要求：,Java开发工程师（上海）,发布于昨天
微盟,15K-30K,移动互联网,岗位职责：,Java高级开发（支付财务系统）,发布于14:17
微盟,15K-30K,移动互联网,岗位职责：,Java高级开发(科技金融),发布于14:17
好买衣,8K-16K,互联网,工作职责：,Java开发工程师,发布于02月24日
拼多多,30K-50K,移动互联网,岗位职责：,资深Java研发工程师（平台治理方向）,发布于02月27日
千起信息科技,15K-25K,计算机软件,岗位职责,Java,发布于02月24日
众谱伟信,8K-15K,互联网金融,岗位职责：,Java开发工程师,发布于昨天
mo9,15K-25K,互联网,岗位职责：,高级JAVA软件工程师（区块链方向）,发布于02月26日
杭州数列科技有限公司,20K-35K,企业服务,职位诱惑：,JAVA大数据开发工程师,发布于15:21
杭州数列科技有限公司,20K-35K,企业服务,职位诱惑：,java开发,发布于15:22
杭州数列科技有限公司,10K-20K,企业服务,希望你能：,java研发工程师,发布于11:54
夺汇网络,15K-30K,互联网金融,XTransfer成立于2017年，创始团队5人来自阿里巴巴及蚂蚁金服。总部在香港，并已经在英国伦敦，中国上海、深圳设有3家全资子公司，是中国第一家专注服务外贸B2B客户的跨境金融科技企业。,高级 Java 开发工程师（金融平台）,发布于18:10
深兰科技,25K-30K,智能硬件,Java高级开发工程师,Java技术专家,发布于昨天
奥动新能源汽车科技,15K-25K,汽车生产,岗位职责：,高级Java开发工程师,发布于02月26日
翼倍,20K-25K,互联网,诚意招聘：资深Java后端研发主管,Java研发主管,发布于02月26日
再惠,15K-30K,互联网,岗位职责：,java高级开发工程师,发布于02月24日
再惠,15K-30K,移动互联网,岗位职责：,高级JAVA开发工程师,发布于昨天
赤骥商贸有限公司,13K-17K,贸易/进出口,3-5年Java开发经验,中级java工程师,发布于02月24日
塔莫科技,18K-36K,计算机软件,大家好，我们团队正在寻找多名java工程师，作为外派服务于一家互联网金融软件公司，薪酬佳，办公环境优，团队整体素质高。,Java开发工程师,发布于12:10
樊登读书会,20K-25K,互联网,岗位描述：,JAVA高级工程师,发布于02月24日
元旨科技,20K-40K,社交网络,职位描述：根据产品需求开发后台服务器,java 工程师,发布于17:34
蚂蚁金服,15K-30K,互联网,职责描述：,高级Java工程师/专家（上海）,发布于昨天
喜马拉雅FM,25K-35K,移动互联网,【职位描述】,资深Java开发,发布于02月27日
唯捷城配,13K-25K,物流/仓储,1、核心业务模块的功能开发、升级和重构,高级Java开发工程师,发布于昨天
猫酷科技,25K-40K,O2O,工作职责：,高级Java开发经理,发布于昨天
滴滴出行,15K-30K,移动互联网,职位描述,高级Java开发工程师 (J170526086),发布于02月23日
舞象云,15K-25K,移动互联网,舞象云——零售渠道云服务专家,JAVA大数据研发工程师,发布于02月24日
博聚科技,20K-30K,互联网,岗位职责：,Java研发工程师,发布于昨天
中智关爱通,25K-50K,电子商务,岗位职责：,高级JAVA工程师,发布于昨天
中智关爱通,15K-30K,电子商务,岗位职责：,高级JAVA开发工程师,发布于昨天
平安健康,16K-32K,医疗健康,商城java高级开发工程师或架构师,Java,发布于昨天
灵顺宝网络科技,20K-30K,电子商务,岗位职责：,Java高级开发,发布于12:28
中科卓望,12K-14K,计算机软件,工作职责：,JAVA开发工程师,发布于13:22
上海谷米,25K-50K,汽车生产,工作职责：,高级Java工程师,发布于昨天
撷知教育,10K-18K,在线教育,1. 28岁以上，细心、认真、有责任感、沟通领悟力强，全日制本科及以上，计算机科学及相关专业毕业。,高级JAVA开发工程师,发布于02月24日
小红书,30K-50K,互联网,工作职责：,JAVA开发工程师-创新项目,发布于昨天
BDO立信,8K-16K,咨询,公司内部业务系统开发,Java,发布于02月27日
小红书,30K-50K,互联网,工作职责：,资深JAVA开发工程师-创新项目,发布于昨天
贞诺网络,16K-29K,互联网,职责描述：,资深java开发工程师,发布于昨天
郑州超预企服,11K-16K,企业服务,1.定期完成量化的工作要求，独立处理和解决所负责的任务，并能够积极提出改进措施；,JAVA高级工程师,发布于09:35
